ref	idx	token	oga_id	glaux_id	oga_postag	glaux_postag	gorman_postag	oga_lemma	glaux_lemma	gorman_lemma	mismatch_oga_gorman|mismatch_glaux_gorman|mismatch_oga_glaux
1	1	πολλάκις	t_1	100686799	d--------	d--------		πολλάκις	πολλάκις		m|m|
1	2	ἐθαύμασα	t_2	100686800	v1saia---	v1saia---		θαυμάζω	θαυμάζω		m|m|
1	3	τῶν	t_3	100686801	l-p---mg-	l-p---mg-		ὁ	ὁ		m|m|
1	4	τὰς	t_4	100686802	l-p---fa-	l-p---fa-		ὁ	ὁ		m|m|
1	5	πανηγύρεις	t_5	100686803	n-p---fa-	n-p---fa-		πανήγυρις	πανήγυρις		m|m|
1	6	συναγαγόντων	t_6	100686804	v-papamg-	v-papamg-		συνάγω	συνάγω		m|m|
1	7	καὶ	t_7	100686805	c--------	c--------		καί	καί		m|m|
1	8	τοὺς	t_8	100686806	l-p---ma-	l-p---ma-		ὁ	ὁ		m|m|
1	9	γυμνικοὺς	t_9	100686807	a-p---ma-	a-p---ma-		γυμνικός	γυμνικός		m|m|
1	10	ἀγῶνας	t_10	100686808	n-p---ma-	n-p---ma-		ἀγών	ἀγών		m|m|
1	11	καταστησάντων	t_11	100686809	v-papamg-	v-papamg-		καθίστημι	καθίστημι		m|m|
1	12	,	t_12	100686810	u--------	u--------		,	,		m|m|
1	13	ὅτι	t_13	100686811	c--------	c--------		ὅτι	ὅτι		m|m|
1	14	τὰς	t_14	100686812	l-p---fa-	l-p---fa-		ὁ	ὁ		m|m|
1	15	μὲν	t_15	100686813	d--------	g--------		μέν	μέν		m|m|
1	16	τῶν	t_16	100686814	l-p---ng-	l-p---ng-		ὁ	ὁ		m|m|
1	17	σωμάτων	t_17	100686815	n-p---ng-	n-p---ng-		σῶμα	σῶμα		m|m|
1	18	εὐτυχίας	t_18	100686816	n-p---fa-	n-p---fa-		εὐτυχία	εὐτυχία		m|m|
1	19	οὕτω	t_19	100686817	d--------	d--------		οὕτως	οὕτως		m|m|
1	20	μεγάλων	t_20	100686818	a-p---fg-	a-p---fg-		μέγας	μέγας		m|m|
1	21	δωρεῶν	t_21	100686819	n-p---fg-	n-p---fg-		δωρεά	δωρεά		m|m|
1	22	ἠξίωσαν	t_22	100686820	v3paia---	v3paia---		ἀξιόω	ἀξιόω		m|m|
1	23	,	t_23	100686821	u--------	u--------		,	,		m|m|
1	24	τοῖς	t_24	100686822	l-p---md-	l-p---md-		ὁ	ὁ		m|m|
1	25	δʼ	t_25	100686823	c--------	c--------		δέ	δέ		m|m|
1	26	ὑπὲρ	t_26	100686824	r--------	r--------		ὑπέρ	ὑπέρ		m|m|
1	27	τῶν	t_27	100686825	l-p---ng-	l-p---ng-		ὁ	ὁ		m|m|
1	28	κοινῶν	t_28	100686826	a-p---ng-	a-p---ng-		κοινός	κοινός		m|m|
1	29	ἰδίᾳ	t_29	100686827	a-s---fd-	a-s---fd-		ἴδιος	ἴδιος		m|m|
1	30	πονήσασι	t_30	100686828	v-papamd-	v-papamd-		πονέω	πονέω		m|m|
1	31	καὶ	t_31	100686829	c--------	c--------		καί	καί		m|m|
1	32	τὰς	t_32	100686830	l-p---fa-	l-p---fa-		ὁ	ὁ		m|m|
1	33	ἑαυτῶν	t_33	100686831	p-p---mg-	p-p---mg-		ἑαυτοῦ	ἑαυτοῦ		m|m|
1	34	ψυχὰς	t_34	100686832	n-p---fa-	n-p---fa-		ψυχή	ψυχή		m|m|
1	35	οὕτω	t_35	100686833	d--------	d--------		οὕτως	οὕτως		m|m|
1	36	παρασκευάσασιν	t_36	100686834	v-papamd-	v-papamd-		παρασκευάζω	παρασκευάζω		m|m|
1	37	ὥστε	t_37	100686835	c--------	c--------		ὥστε	ὥστε		m|m|
1	38	καὶ	t_38	100686836	d--------	c--------		καί	καί		m|m|
1	39	τοὺς	t_39	100686837	l-p---ma-	l-p---ma-		ὁ	ὁ		m|m|
1	40	ἄλλους	t_40	100686838	p-p---ma-	p-p---ma-		ἄλλος	ἄλλος		m|m|
1	41	ὠφελεῖν	t_41	100686839	v--pna---	v--pna---		ὠφελέω	ὠφελέω		m|m|
1	42	δύνασθαι	t_42	100686840	v--pne---	v--pnm---		δύναμαι	δύναμαι		m|m|
1	43	,	t_43	100686841	u--------	u--------		,	,		m|m|
2	1	τούτοις	t_44	100686842	p-p---md-	p-p---md-		οὗτος	οὗτος		m|m|
2	2	δʼ	t_45	100686843	d--------	c--------		δέ	δέ		m|m|
2	3	οὐδεμίαν	t_46	100686844	a-s---fa-	p-s---fa-		οὐδείς	οὐδείς		m|m|
2	4	τιμὴν	t_47	100686845	n-s---fa-	n-s---fa-		τιμή	τιμή		m|m|
2	5	ἀπένειμαν	t_48	100686846	v3paia---	v3paia---		ἀπονέμω	ἀπονέμω		m|m|
2	6	·	t_49	100686847	u--------	u--------		·	·		m|m|
2	7	ὧν	t_50	100686848	p-p---ng-	p-p---ng-		ὅς	ὅς		m|m|
2	8	εἰκὸς	t_51	100686849	v-srpann-	v-srpann-		ἔοικα	ἔοικα		m|m|
2	9	ἦν	t_52	100686850	v3siia---	v3siia---		εἰμί	εἰμί		m|m|
2	10	αὐτοὺς	t_53	100686851	p-p---ma-	p-p---ma-		αὐτός	αὐτός		m|m|
2	11	μᾶλλον	t_54	100686852	d--------	d-------c		μᾶλλον	μάλα		m|m|@
2	12	ποιήσασθαι	t_55	100686853	v--anm---	v--anm---		ποιέω	ποιέω		m|m|
2	13	πρόνοιαν	t_56	100686854	n-s---fa-	n-s---fa-		πρόνοια	πρόνοια		m|m|
2	14	·	t_57	100686855	u--------	u--------		·	·		m|m|
2	15	τῶν	t_58	100686856	l-p---mg-	l-p---mg-		ὁ	ὁ		m|m|
2	16	μὲν	t_59	100686857	d--------	g--------		μέν	μέν		m|m|
2	17	γὰρ	t_60	100686858	d--------	g--------		γάρ	γάρ		m|m|
2	18	ἀθλητῶν	t_61	100686859	n-p---mg-	n-p---mg-		ἀθλητής	ἀθλητής		m|m|
2	19	δὶς	t_62	100686860	d--------	d--------		δίς	δίς		m|m|
2	20	τοσαύτην	t_63	100686861	a-s---fa-	p-s---fa-		τοσοῦτος	τοσοῦτος		m|m|
2	21	ῥώμην	t_64	100686862	n-s---fa-	n-s---fa-		ῥώμη	ῥώμη		m|m|
2	22	λαβόντων	t_65	100686863	v-papamg-	v-papamg-		λαμβάνω	λαμβάνω		m|m|
2	23	οὐδὲν	t_66	100686864	p-s---nn-	p-s---nn-		οὐδείς	οὐδείς		m|m|
2	24	ἂν	t_67	100686865	d--------	g--------		ἄν	ἄν		m|m|
2	25	πλέον	t_68	100686866	a-s---nnc	a-s---nnc		πλέος	πολύς		m|m|@
2	26	γένοιτο	t_69	100686867	v3saom---	v3saom---		γίγνομαι	γίγνομαι		m|m|
2	27	τοῖς	t_70	100686868	l-p---md-	l-p---md-		ὁ	ὁ		m|m|
2	28	ἄλλοις	t_71	100686869	p-p---md-	p-p---md-		ἄλλος	ἄλλος		m|m|
2	29	,	t_72	100686870	u--------	u--------		,	,		m|m|
2	30	ἑνὸς	t_73	100686871	a-s---mg-	m-s---mg-		εἷς	εἷς		m|m|
2	31	δὲ	t_74	100686872	c--------	c--------		δέ	δέ		m|m|
2	32	ἀνδρὸς	t_75	100686873	n-s---mg-	n-s---mg-		ἀνήρ	ἀνήρ		m|m|
2	33	εὖ	t_76	100686874	d--------	d--------		εὖ	εὖ		m|m|
2	34	φρονήσαντος	t_77	100686875	v-sapamg-	v-sapamg-		φρονέω	φρονέω		m|m|
2	35	ἅπαντες	t_78	100686876	a-p---mn-	p-p---mn-		ἅπας	ἅπας		m|m|
2	36	ἂν	t_79	100686877	d--------	g--------		ἄν	ἄν		m|m|
2	37	ἀπολαύσειαν	t_80	100686878	v3paoa---	v3paoa---		ἀπολαύω	ἀπολαύω		m|m|
2	38	οἱ	t_81	100686879	l-p---mn-	l-p---mn-		ὁ	ὁ		m|m|
2	39	βουλόμενοι	t_82	100686880	v-pppemn-	v-pppmmn-		βούλομαι	βούλομαι		m|m|
2	40	κοινωνεῖν	t_83	100686881	v--pna---	v--pna---		κοινωνέω	κοινωνέω		m|m|
2	41	τῆς	t_84	100686882	l-s---fg-	l-s---fg-		ὁ	ὁ		m|m|
2	42	ἐκείνου	t_85	100686883	p-s---mg-	p-s---mg-		ἐκεῖνος	ἐκεῖνος		m|m|
2	43	διανοίας	t_86	100686884	n-s---fg-	n-s---fg-		διάνοια	διάνοια		m|m|
2	44	.	t_87	100686885	u--------	u--------		.	.		m|m|
3	1	οὐ	t_88	100686886	d--------	d--------		οὐ	οὐ		m|m|
3	2	μὴν	t_89	100686887	d--------	g--------		μήν	μήν		m|m|
3	3	ἐπὶ	t_90	100686888	r--------	r--------		ἐπί	ἐπί		m|m|
3	4	τούτοις	t_91	100686889	p-p---nd-	p-p---nd-		οὗτος	οὗτος		m|m|
3	5	ἀθυμήσας	t_92	100686890	v-sapamn-	v-sapamn-		ἀθυμέω	ἀθυμέω		m|m|
3	6	εἱλόμην	t_93	100686891	v1saim---	v1saim---		αἱρέω	αἱρέω		m|m|
3	7	ῥᾳθυμεῖν	t_94	100686892	v--pna---	v--pna---		ῥᾳθυμέω	ῥαθυμέω		m|m|
3	8	,	t_95	100686893	u--------	u--------		,	,		m|m|
3	9	ἀλλʼ	t_96	100686894	c--------	c--------		ἀλλά	ἀλλά		m|m|
3	10	ἱκανὸν	t_97	100686895	a-s---na-	a-s---na-		ἱκανός	ἱκανός		m|m|
3	11	νομίσας	t_98	100686896	v-sapamn-	v-sapamn-		νομίζω	νομίζω		m|m|
3	12	ἆθλον	t_99	100686897	n-s---na-	n-s---na-		ἆθλον	ἆθλον		m|m|
3	13	ἔσεσθαί	t_100	100686898	v--fnm---	v--fnm---		εἰμί	εἰμί		m|m|
3	14	μοι	t_101	100686899	p1s---md-	p-s---cd-		ἐγώ	ἐγώ		m|m|
3	15	τὴν	t_102	100686900	l-s---fa-	l-s---fa-		ὁ	ὁ		m|m|
3	16	δόξαν	t_103	100686901	n-s---fa-	n-s---fa-		δόξα	δόξα		m|m|
3	17	τὴν	t_104	100686902	l-s---fa-	l-s---fa-		ὁ	ὁ		m|m|
3	18	ἀπʼ	t_105	100686903	r--------	r--------		ἀπό	ἀπό		m|m|
3	19	αὐτοῦ	t_106	100686904	a-s---mg-	p-s---mg-		αὐτός	αὐτός		m|m|
3	20	λόγου	t_107	100686905	n-s---mg-	n-s---mg-		λόγος	λόγος		m|m|
3	21	γενησομένην	t_108	100686906	v-sfpmfa-	v-sfpmfa-		γίγνομαι	γίγνομαι		m|m|
3	22	ἥκω	t_109	100686907	v1spia---	v1spia---		ἥκω	ἥκω		m|m|
3	23	συμβουλεύσων	t_110	100686908	v-sfpamn-	v-sfpamn-		συμβουλεύω	συμβουλεύω		m|m|
3	24	περί	t_111	100686909	r--------	r--------		περί	περί		m|m|
3	25	τε	t_112	100686910	d--------	c--------		τε	τε		m|m|
3	26	τοῦ	t_113	100686911	l-s---mg-	l-s---mg-		ὁ	ὁ		m|m|
3	27	πολέμου	t_114	100686912	n-s---mg-	n-s---mg-		πόλεμος	πόλεμος		m|m|
3	28	τοῦ	t_115	100686913	l-s---mg-	l-s---mg-		ὁ	ὁ		m|m|
3	29	πρὸς	t_116	100686914	r--------	r--------		πρός	πρός		m|m|
3	30	τοὺς	t_117	100686915	l-p---ma-	l-p---ma-		ὁ	ὁ		m|m|
3	31	βαρβάρους	t_118	100686916	n-p---ma-	a-p---ma-		βάρβαρος	βάρβαρος		m|m|
3	32	καὶ	t_119	100686917	c--------	c--------		καί	καί		m|m|
3	33	τῆς	t_120	100686918	l-s---fg-	l-s---fg-		ὁ	ὁ		m|m|
3	34	ὁμονοίας	t_121	100686919	n-s---fg-	n-s---fg-		ὁμόνοια	ὁμόνοια		m|m|
3	35	τῆς	t_122	100686920	l-s---fg-	l-s---fg-		ὁ	ὁ		m|m|
3	36	πρὸς	t_123	100686921	r--------	r--------		πρός	πρός		m|m|
3	37	ἡμᾶς	t_124	100686922	p1p---ma-	p-p---ca-		ἐγώ	ἐγώ		m|m|
3	38	αὐτούς	t_125	100686923	a-p---ma-	p-p---ma-		αὐτός	αὐτός		m|m|
3	39	,	t_126	100686924	u--------	u--------		,	,		m|m|
3	40	οὐκ	t_127	100686925	d--------	d--------		οὐ	οὐ		m|m|
3	41	ἀγνοῶν	t_128	100686926	v-sppamn-	v-sppamn-		ἀγνοέω	ἀγνοέω		m|m|
3	42	ὅτι	t_129	100686927	c--------	c--------		ὅτι	ὅτι		m|m|
3	43	πολλοὶ	t_130	100686928	a-p---mn-	a-p---mn-		πολύς	πολύς		m|m|
3	44	τῶν	t_131	100686929	l-p---mg-	l-p---mg-		ὁ	ὁ		m|m|
3	45	προσποιησαμένων	t_132	100686930	v-papmmg-	v-papmmg-		προσποιέω	προσποιέω		m|m|
3	46	εἶναι	t_133	100686931	v--pna---	v--pna---		εἰμί	εἰμί		m|m|
3	47	σοφιστῶν	t_134	100686932	n-p---mg-	n-p---mg-		σοφιστής	σοφιστής		m|m|
3	48	ἐπὶ	t_135	100686933	r--------	r--------		ἐπί	ἐπί		m|m|
3	49	τοῦτον	t_136	100686934	a-s---ma-	p-s---ma-		οὗτος	οὗτος		m|m|
3	50	τὸν	t_137	100686935	l-s---ma-	l-s---ma-		ὁ	ὁ		m|m|
3	51	λόγον	t_138	100686936	n-s---ma-	n-s---ma-		λόγος	λόγος		m|m|
3	52	ὥρμησαν	t_139	100686937	v3paia---	v3paia---		ὁρμάω	ὁρμάω		m|m|
3	53	,	t_140	100686938	u--------	u--------		,	,		m|m|
4	1	ἀλλʼ	t_141	100686939	c--------	c--------		ἀλλά	ἀλλά		m|m|
4	2	ἅμα	t_142	100686940	d--------	d--------		ἅμα	ἅμα		m|m|
4	3	μὲν	t_143	100686941	d--------	g--------		μέν	μέν		m|m|
4	4	ἐλπίζων	t_144	100686942	v-sppamn-	v-sppamn-		ἐλπίζω	ἐλπίζω		m|m|
4	5	τοσοῦτον	t_145	100686943	a-s---na-	p-s---na-		τοσοῦτος	τοσοῦτος		m|m|
4	6	διοίσειν	t_146	100686944	v--fna---	v--fna---		διαφέρω	διαφέρω		m|m|
4	7	ὥστε	t_147	100686945	c--------	c--------		ὥστε	ὥστε		m|m|
4	8	τοῖς	t_148	100686946	l-p---md-	l-p---md-		ὁ	ὁ		m|m|
4	9	ἄλλοις	t_149	100686947	p-p---md-	p-p---md-		ἄλλος	ἄλλος		m|m|
4	10	μηδὲν	t_150	100686948	p-s---na-	p-s---na-		μηδείς	μηδείς		m|m|
4	11	πώποτε	t_151	100686949	d--------	d--------		πώποτε	πώποτε		m|m|
4	12	δοκεῖν	t_152	100686950	v--pna---	v--pna---		δοκέω	δοκέω		m|m|
4	13	εἰρῆσθαι	t_153	100686951	v--rne---	v--rnm---		ἐρῶ	λέγω		m|m|@
4	14	περὶ	t_154	100686952	r--------	r--------		περί	περί		m|m|
4	15	αὐτῶν	t_155	100686953	p-p---mg-	p-p---ng-		αὐτός	αὐτός		m|m|
4	16	,	t_156	100686954	u--------	u--------		,	,		m|m|
4	17	ἅμα	t_157	100686955	d--------	d--------		ἅμα	ἅμα		m|m|
4	18	δὲ	t_158	100686956	c--------	c--------		δέ	δέ		m|m|
4	19	προκρίνας	t_159	100686957	v-sapamn-	v-sapamn-		προκρίνω	προκρίνω		m|m|
4	20	τούτους	t_160	100686958	p-p---ma-	p-p---ma-		οὗτος	οὗτος		m|m|
4	21	καλλίστους	t_161	100686959	a-p---mas	a-p---mas		καλός	καλός		m|m|
4	22	εἶναι	t_162	100686960	v--pna---	v--pna---		εἰμί	εἰμί		m|m|
4	23	τῶν	t_163	100686961	l-p---mg-	l-p---mg-		ὁ	ὁ		m|m|
4	24	λόγων	t_164	100686962	n-p---mg-	n-p---mg-		λόγος	λόγος		m|m|
4	25	,	t_165	100686963	u--------	u--------		,	,		m|m|
4	26	οἵτινες	t_166	100686964	p-p---mn-	p-p---mn-		ὅστις	ὅστις		m|m|
4	27	περὶ	t_167	100686965	r--------	r--------		περί	περί		m|m|
4	28	μεγίστων	t_168	100686966	a-p---mgs	a-p---ngs		μέγας	μέγας		m|m|
4	29	τυγχάνουσιν	t_169	100686967	v3ppia---	v3ppia---		τυγχάνω	τυγχάνω		m|m|
4	30	ὄντες	t_170	100686968	v-pppamn-	v-pppamn-		εἰμί	εἰμί		m|m|
4	31	καὶ	t_171	100686969	c--------	c--------		καί	καί		m|m|
4	32	τούς	t_172	100686970	l-p---ma-	l-p---ma-		ὁ	ὁ		m|m|
4	33	τε	t_173	100686971	d--------	c--------		τε	τε		m|m|
4	34	λέγοντας	t_174	100686972	v-pppama-	v-pppama-		λέγω3	λέγω		m|m|
4	35	μάλιστʼ	t_175	100686973	d--------	d-------s		μάλιστα	μάλα		m|m|@
4	36	ἐπιδεικνύουσι	t_176	100686974	v3ppia---	v3ppia---		ἐπιδείκνυμι	ἐπιδείκνυμι		m|m|
4	37	καὶ	t_177	100686975	c--------	c--------		καί	καί		m|m|
4	38	τοὺς	t_178	100686976	l-p---ma-	l-p---ma-		ὁ	ὁ		m|m|
4	39	ἀκούοντας	t_179	100686977	v-pppama-	v-pppama-		ἀκούω	ἀκούω		m|m|
4	40	πλεῖστʼ	t_180	100686978	a-p---nas	a-p---nas		πλεῖστος	πολύς		m|m|@
4	41	ὠφελοῦσιν	t_181	100686979	v3ppia---	v3ppia---		ὠφελέω	ὠφελέω		m|m|
4	42	,	t_182	100686980	u--------	u--------		,	,		m|m|
5	1	ὧν	t_183	100686981	p-p---mg-	p-p---mg-		ὅς	ὅς		m|m|
5	2	εἷς	t_184	100686982	a-s---mn-	m-s---mn-		εἷς	εἷς		m|m|
5	3	οὗτός	t_185	100686983	p-s---mn-	p-s---mn-		οὗτος	οὗτος		m|m|
5	4	ἐστιν	t_186	100686984	v3spia---	v3spia---		εἰμί	εἰμί		m|m|
5	5	.	t_187	100686985	u--------	u--------		.	.		m|m|
5	6	ἔπειτʼ	t_188	100686986	d--------	d--------		ἔπειτα	ἔπειτα		m|m|
5	7	οὐ	t_189	100686987	d--------	d--------		οὐ	οὐ		m|m|
5	8	δ’	t_190	100686988	d--------	c--------		δέ	δέ		m|m|
5	9	οἱ	t_191	100686989	l-p---mn-	l-p---mn-		ὁ	ὁ		m|m|
5	10	καιροί	t_192	100686990	n-p---mn-	n-p---mn-		καιρός	καιρός		m|m|
5	11	πω	t_193	100686991	d--------	d--------		πω	πω		m|m|
5	12	παρεληλύθασιν	t_194	100686992	v3pria---	v3pria---		παρέρχομαι	παρέρχομαι		m|m|
5	13	,	t_195	100686993	u--------	u--------		,	,		m|m|
5	14	ὥστʼ	t_196	100686994	c--------	c--------		ὥστε	ὥστε		m|m|
5	15	ἤδη	t_197	100686995	d--------	d--------		ἤδη	ἤδη		m|m|
5	16	μάτην	t_198	100686996	d--------	d--------		μάτην	μάτην		m|m|
5	17	εἶναι	t_199	100686997	v--pna---	v--pna---		εἰμί	εἰμί		m|m|
5	18	τὸ	t_200	100686998	l-s---na-	l-s---na-		ὁ	ὁ		m|m|
