AUTHOR	WORK	TAGGED	OGA	GORMAN	GLAUX
0003	001	66394	169053	49027	66944
0010	007	3326	3339	0	3395
0010	008	1478	1476	0	1491
0010	009	4151	4136	0	4178
0010	011	12056	12049	0	12153
0010	019	19633	19725	0	19918
0010	021	17575	17711	0	17879
0014	001	2134	2142	2150	2202
0014	004	3838	3877	0	3975
0014	005	1675	1711	0	1731
0014	006	2320	2354	0	2408
0014	018	25751	26026	25960	26474
0014	020	13109	13238	0	13459
0014	021	18254	18517	0	18829
0032	006	64813	64400	18490	65763
0059	001	6554	6599	0	6408
0059	002	10110	10235	10243	10527
0059	003	5075	5130	4931	5148
0059	011	20320	20414	0	20937
0059	030	104892	105452	0	109360
0540	001	2856	2807	2802	2859
0540	002	4631	4595	0	4659
0540	003	2569	2533	0	2546
0540	004	1139	1093	0	1104
0540	005	325	278	0	320
0540	006	3250	3005	0	3052
0540	007	2565	2347	0	2369
0540	008	1391	1205	0	1211
0540	009	1108	1009	0	1020
0540	010	1891	1747	0	1777
0540	012	5921	5582	5574	5672
0540	013	6151	5534	5586	5657
0540	014	2951	2768	2776	2797
0540	015	729	682	683	688
0540	016	1378	1315	0	1321
0540	017	702	675	0	682
0540	018	1638	1527	0	1539
0540	019	3988	3578	3566	3636
0540	020	2379	2234	0	2252
0540	022	1395	1309	0	1331
0540	023	928	895	890	895
0540	025	2472	2264	0	2360
0540	026	1730	1581	0	1612
0540	032	2077	1942	0	1972
0540	033	547	466	0	501
