token_id	text
1	Δαρείου
2	καὶ
3	Παρυσάτιδος
4	γίγνονται
5	παῖδες
6	δύο
7	,
8	πρεσβύτερος
9	μὲν
10	Ἀρταξέρξης
11	,
12	νεώτερος
13	δὲ
14	Κῦρος
15	·
16	ἐπεὶ
17	δὲ
18	ἠσθένει
19	Δαρεῖος
20	καὶ
21	ὑπώπτευε
22	τελευτὴν
23	τοῦ
24	βίου
25	,
26	ἐβούλετο
27	τὼ
28	παῖδε
29	ἀμφοτέρω
30	παρεῖναι
31	.
32	ὁ
33	μὲν
34	οὖν
35	πρεσβύτερος
36	παρὼν
37	ἐτύγχανε
38	·
39	Κῦρον
40	δὲ
41	μεταπέμπεται
42	ἀπὸ
43	τῆς
44	ἀρχῆς
45	ἧς
46	αὐτὸν
47	σατράπην
48	ἐποίησε
49	,
50	καὶ
51	στρατηγὸν
52	δὲ
53	αὐτὸν
54	ἀπέδειξε
55	πάντων
56	ὅσοι
57	ἐς
58	Καστωλοῦ
59	πεδίον
60	ἁθροίζονται
61	.
62	ἀναβαίνει
63	οὖν
64	ὁ
65	Κῦρος
66	λαβὼν
67	Τισσαφέρνην
68	ὡς
69	φίλον
70	,
71	καὶ
72	τῶν
73	Ἑλλήνων
74	ἔχων
75	ὁπλίτας
76	ἀνέβη
77	τριακοσίους
78	,
79	ἄρχοντα
80	δὲ
81	αὐτῶν
82	Ξενίαν
83	Παρράσιον
84	.
85	ἐπεὶ
86	δὲ
87	ἐτελεύτησε
88	Δαρεῖος
89	καὶ
90	κατέστη
91	εἰς
92	τὴν
93	βασιλείαν
94	Ἀρταξέρξης
95	,
96	Τισσαφέρνης
97	διαβάλλει
98	τὸν
99	Κῦρον
100	πρὸς
101	τὸν
102	ἀδελφὸν
103	ὡς
104	ἐπιβουλεύοι
105	αὐτῷ
106	.
107	ὁ
108	δὲ
109	πείθεται
110	καὶ
111	συλλαμβάνει
112	Κῦρον
113	ὡς
114	ἀποκτενῶν
115	·
116	ἡ
117	δὲ
118	μήτηρ
119	ἐξαιτησαμένη
120	αὐτὸν
121	ἀποπέμπει
122	πάλιν
123	ἐπὶ
124	τὴν
125	ἀρχήν
126	.
127	ὁ
128	δ’
129	ὡς
130	ἀπῆλθε
131	κινδυνεύσας
132	καὶ
133	ἀτιμασθείς
134	,
135	βουλεύεται
136	ὅπως
137	μήποτε
138	ἔτι
139	ἔσται
140	ἐπὶ
141	τῷ
142	ἀδελφῷ
143	,
144	ἀλλά
145	,
146	ἢν
147	δύνηται
148	,
149	βασιλεύσει
150	ἀντ’
151	ἐκείνου
152	.
153	Παρύσατις
154	μὲν
155	δὴ
156	ἡ
157	μήτηρ
158	ὑπῆρχε
159	τῷ
160	Κύρῳ
161	,
162	φιλοῦσα
163	αὐτὸν
164	μᾶλλον
165	ἢ
166	τὸν
167	βασιλεύοντα
168	Ἀρταξέρξην
169	.
170	ὅστις
171	δ’
172	ἀφικνεῖτο
173	τῶν
174	παρὰ
175	βασιλέως
176	πρὸς
177	αὐτὸν
178	πάντας
179	οὕτω
180	διατιθεὶς
