work_id	section_ref	category
tlg0003.tlg001.perseus-grc2	1.9.4	verse
tlg0003.tlg001.perseus-grc2	1.132.2	verse
tlg0003.tlg001.perseus-grc2	5.77	dialect
tlg0003.tlg001.perseus-grc2	5.79	dialect
tlg0003.tlg001.perseus-grc2	2.54.2	oracle
tlg0003.tlg001.perseus-grc2	3.104.4	oracle
tlg0003.tlg001.perseus-grc2	3.104.5	oracle
tlg0014.tlg018.perseus-grc2	267	verse
tlg0014.tlg018.perseus-grc2	289	verse
tlg0014.tlg018.perseus-grc2	90	dialect
tlg0014.tlg018.perseus-grc2	91	dialect
tlg0014.tlg021.perseus-grc2	52	oracle
tlg0032.tlg002.perseus-grc2	1.2.20	verse
tlg0032.tlg002.perseus-grc2	1.2.56	verse
tlg0032.tlg002.perseus-grc2	1.2.57	verse
tlg0032.tlg002.perseus-grc2	1.2.58	verse
tlg0032.tlg002.perseus-grc2	1.3.3	verse
tlg0032.tlg002.perseus-grc2	2.1.20	verse
tlg0032.tlg002.perseus-grc2	2.6.11	verse
tlg0032.tlg002.perseus-grc2	2.6.33	verse
tlg0032.tlg002.perseus-grc2	3.2.2	verse
tlg0032.tlg002.perseus-grc2	4.3.34	verse
tlg0032.tlg004.perseus-grc2	2.4	verse
tlg0032.tlg004.perseus-grc2	4.6	verse
tlg0032.tlg004.perseus-grc2	4.45	verse
tlg0032.tlg004.perseus-grc2	8.30	verse
tlg0059.tlg001.plato-texts	12a	verse
tlg0059.tlg001.plato-texts	12b	verse
tlg0059.tlg003.plato-texts	44b	verse
tlg0059.tlg011.plato-texts	174a	verse
tlg0059.tlg011.plato-texts	174b	verse
tlg0059.tlg011.plato-texts	174c	verse
tlg0059.tlg011.plato-texts	178b	verse
tlg0059.tlg011.plato-texts	179b	verse
tlg0059.tlg011.plato-texts	195c	verse
tlg0059.tlg011.plato-texts	195d	verse
tlg0059.tlg011.plato-texts	196a	verse
tlg0059.tlg011.plato-texts	196d	verse
tlg0059.tlg011.plato-texts	196e	verse
tlg0059.tlg011.plato-texts	197a	verse
tlg0059.tlg011.plato-texts	197b	verse
tlg0059.tlg011.plato-texts	197c	verse
tlg0059.tlg011.plato-texts	197e	verse
tlg0059.tlg011.plato-texts	209d	verse
tlg0059.tlg011.plato-texts	209e	verse
tlg0059.tlg011.plato-texts	215c	verse
tlg0059.tlg011.plato-texts	215e	verse
tlg0059.tlg011.plato-texts	218d	verse
tlg0059.tlg011.plato-texts	221b	verse
tlg0059.tlg030.plato-texts	328e	verse
tlg0059.tlg030.plato-texts	331a	verse
tlg0059.tlg030.plato-texts	334b	verse
tlg0059.tlg030.plato-texts	362a	verse
tlg0059.tlg030.plato-texts	362b	verse
tlg0059.tlg030.plato-texts	362c	verse
tlg0059.tlg030.plato-texts	363b	verse
tlg0059.tlg030.plato-texts	363c	verse
tlg0059.tlg030.plato-texts	364c	verse
tlg0059.tlg030.plato-texts	364d	verse
tlg0059.tlg030.plato-texts	364e	verse
tlg0059.tlg030.plato-texts	365a	verse
tlg0059.tlg030.plato-texts	365b	verse
tlg0059.tlg030.plato-texts	365e	verse
tlg0059.tlg030.plato-texts	368a	verse
tlg0059.tlg030.plato-texts	379d	verse
tlg0059.tlg030.plato-texts	380a	verse
tlg0059.tlg030.plato-texts	381d	verse
tlg0059.tlg030.plato-texts	383b	verse
tlg0059.tlg030.plato-texts	386c	verse
tlg0059.tlg030.plato-texts	386d	verse
tlg0059.tlg030.plato-texts	387a	verse
tlg0059.tlg030.plato-texts	387b	verse
tlg0059.tlg030.plato-texts	388a	verse
tlg0059.tlg030.plato-texts	388b	verse
tlg0059.tlg030.plato-texts	388c	verse
tlg0059.tlg030.plato-texts	388d	verse
tlg0059.tlg030.plato-texts	389a	verse
tlg0059.tlg030.plato-texts	389d	verse
tlg0059.tlg030.plato-texts	389e	verse
tlg0059.tlg030.plato-texts	390a	verse
tlg0059.tlg030.plato-texts	390b	verse
tlg0059.tlg030.plato-texts	390c	verse
tlg0059.tlg030.plato-texts	390d	verse
tlg0059.tlg030.plato-texts	390e	verse
tlg0059.tlg030.plato-texts	391a	verse
tlg0059.tlg030.plato-texts	391b	verse
tlg0059.tlg030.plato-texts	391c	verse
tlg0059.tlg030.plato-texts	391d	verse
tlg0059.tlg030.plato-texts	391e	verse
tlg0059.tlg030.plato-texts	393a	verse
tlg0059.tlg030.plato-texts	393b	verse
tlg0059.tlg030.plato-texts	396e	verse
tlg0059.tlg030.plato-texts	397b	verse
tlg0059.tlg030.plato-texts	400c	verse
tlg0059.tlg030.plato-texts	404b	verse
tlg0059.tlg030.plato-texts	404c	verse
tlg0059.tlg030.plato-texts	405c	verse
tlg0059.tlg030.plato-texts	408a	verse
tlg0059.tlg030.plato-texts	411a	verse
tlg0059.tlg030.plato-texts	424b	verse
tlg0059.tlg030.plato-texts	441b	verse
tlg0059.tlg030.plato-texts	457b	verse
tlg0059.tlg030.plato-texts	466c	verse
tlg0059.tlg030.plato-texts	468d	verse
tlg0059.tlg030.plato-texts	468e	verse
tlg0059.tlg030.plato-texts	469a	verse
tlg0059.tlg030.plato-texts	516c	verse
tlg0059.tlg030.plato-texts	538d	verse
tlg0059.tlg030.plato-texts	545e	verse
tlg0059.tlg030.plato-texts	547a	verse
tlg0059.tlg030.plato-texts	549e	verse
tlg0059.tlg030.plato-texts	550a	verse
tlg0059.tlg030.plato-texts	563c	verse
tlg0059.tlg030.plato-texts	566c	verse
tlg0059.tlg030.plato-texts	568a	verse
tlg0059.tlg030.plato-texts	568b	verse
tlg0059.tlg030.plato-texts	568c	verse
tlg0059.tlg030.plato-texts	586c	verse
tlg0059.tlg030.plato-texts	607a	verse
tlg0059.tlg030.plato-texts	607b	verse
tlg0059.tlg030.plato-texts	612b	verse
tlg0059.tlg030.plato-texts	616c	verse
