work_id	author	title	genre
tlg0003.tlg001	Thucydides	History (Books 1–5)	history
tlg0010.tlg007	Isocrates	To Demonicus	oration
tlg0010.tlg008	Isocrates	Against the Sophists	oration
tlg0010.tlg009	Isocrates	Helen	oration
tlg0010.tlg011	Isocrates	Panegyricus	oration
tlg0010.tlg019	Isocrates	Antidosis	oration
tlg0010.tlg021	Isocrates	Panathenaicus	oration
tlg0014.tlg001	Demosthenes	Olynthiac 1	oration
tlg0014.tlg004	Demosthenes	Philippic 1	oration
tlg0014.tlg005	Demosthenes	On the Peace	oration
tlg0014.tlg006	Demosthenes	Second Philippic	oration
tlg0014.tlg018	Demosthenes	On the Crown	oration
tlg0014.tlg020	Demosthenes	Against Leptines	oration
tlg0014.tlg021	Demosthenes	Against Meidias	oration
tlg0032.tlg002	Xenophon	Memorabilia	philosophy
tlg0032.tlg003	Xenophon	Symposium	philosophy
tlg0032.tlg004	Xenophon	Oeconomicus	philosophy
tlg0032.tlg006	Xenophon	Anabasis	history
tlg0032.tlg014	Xenophon	Apology	philosophy
tlg0059.tlg001	Plato	Euthyphro	philosophy
tlg0059.tlg002	Plato	Apology	philosophy
tlg0059.tlg003	Plato	Phaedo	philosophy
tlg0059.tlg011	Plato	Symposium	philosophy
tlg0059.tlg030	Plato	Republic	philosophy
tlg0540.tlg001	Lysias	On the Murder of Eratosthenes	oration
tlg0540.tlg002	Lysias	Funeral Oration	oration
tlg0540.tlg003	Lysias	Against Simon	oration
tlg0540.tlg004	Lysias	On a Wound by Premeditation	oration
tlg0540.tlg005	Lysias	For Callias	oration
tlg0540.tlg006	Lysias	Against Andocides	oration
tlg0540.tlg007	Lysias	On the Olive Stump	oration
tlg0540.tlg008	Lysias	Accusation of Calumny	oration
tlg0540.tlg009	Lysias	For the Soldier	oration
tlg0540.tlg010	Lysias	Against Theomnestus 1	oration
tlg0540.tlg012	Lysias	Against Eratosthenes	oration
tlg0540.tlg013	Lysias	Against Agoratus	oration
tlg0540.tlg014	Lysias	Against Alcibiades 1	oration
tlg0540.tlg015	Lysias	Against Alcibiades 2	oration
tlg0540.tlg016	Lysias	For Mantitheus	oration
tlg0540.tlg017	Lysias	On the Property of Eraton	oration
tlg0540.tlg018	Lysias	On the Confiscation of the Property of the Brother of Nicias	oration
tlg0540.tlg019	Lysias	On the Property of Aristophanes	oration
tlg0540.tlg020	Lysias	For Polystratus	oration
tlg0540.tlg022	Lysias	Against the Grain Dealers	oration
tlg0540.tlg023	Lysias	Against Pancleon	oration
tlg0540.tlg025	Lysias	On the Subversion of the Democracy	oration
tlg0540.tlg026	Lysias	On the Scrutiny of Evandros	oration
tlg0540.tlg032	Lysias	Against Diogeiton	oration
tlg0540.tlg033	Lysias	Olympic Oration	oration
